PlayerName,Team
A. J. Burnett,"[FLO, NYA, PHI, PIT, TOR]"
A. J. Hinch,"[DET, KCA, OAK, PHI]"
A. J. Pierzynski,"[BOS, CHA, MIN, SFN, TEX]"
A. J. Sager,"[COL, DET, SDN]"
Aaron Boone,"[CIN, CLE, FLO, HOU, NYA, WAS]"
Aaron Cunningham,"[CLE, OAK, SDN]"
Aaron Fultz,"[CLE, MIN, PHI, SFN, TEX]"
Aaron Harang,"[ATL, CIN, LAN, NYN, OAK, SDN, SEA]"
Aaron Heilman,"[ARI, CHN, NYN]"
Aaron Laffey,"[CLE, NYA, NYN, TOR]"
Aaron Ledesma,"[BAL, COL, NYN, TBA]"
Aaron Miles,"[CHA, CHN, COL, LAN, SLN]"
Aaron Myette,"[CHA, CIN, CLE, TEX]"
Aaron Poreda,"[CHA, SDN, TEX]"
Aaron Robinson,"[BOS, CHA, DET, NYA]"
Aaron Rowand,"[CHA, PHI, SFN]"
Aaron Sele,"[ANA, BOS, LAN, NYN, SEA, TEX]"
Aaron Small,"[ARI, ATL, FLO, NYA, OAK, TOR]"
Aaron Ward,"[CHA, CLE, NYA]"
Abner Dalrymple,"[CHN, ML2, ML3, PIT]"
Abner Powell,"[BL2, CN2, WSU]"
Abraham Nunez,"[FLO, KCA, NYN, PHI, PIT, SLN]"
Ad Brennan,"[CHF, CLE, PHI, WS1]"
Ad Gumbert,"[BRO, BSP, CHN, PHI, PIT]"
Adam Bernero,"[ATL, COL, DET, KCA, PHI]"
Adam Dunn,"[ARI, CHA, CIN, WAS]"
Adam Eaton,"[ARI, BAL, CHA, COL, PHI, SDN, TEX]"
Adam Everett,"[CLE, DET, HOU, MIN]"
Adam Hyzdu,"[BOS, PIT, SDN, TEX]"
Adam Kennedy,"[ANA, LAA, LAN, OAK, SEA, SLN, WAS]"
Adam LaRoche,"[ARI, ATL, BOS, PIT, WAS]"
Adam Melhuse,"[COL, LAN, OAK, TEX]"
Adam Moore,"[KCA, SDN, SEA]"
Adam Peterson,"[CHA, SDN, TOR]"
Adam Riggs,"[ANA, LAN, SDN]"
Adam Rosales,"[CIN, OAK, TEX]"
Adam Russell,"[CHA, SDN, TBA]"
Adam Stern,"[BAL, BOS, MIL]"
Adolfo Phillips,"[CHN, CLE, MON, PHI]"
Adonis Terry,"[BLN, BR3, BRO, CHN, PIT]"
Adrian Beltre,"[BOS, LAN, SEA, TEX]"
Adrian Brown,"[BOS, KCA, PIT, TEX]"
Adrian Garrett,"[ATL, CAL, CHN, OAK]"
Adrian Gonzalez,"[BOS, LAN, SDN, TEX]"
Akinori Iwamura,"[OAK, PIT, TBA]"
Al Aber,"[CLE, DET, KC1]"
Al Atkinson,"[BLU, CHU, PH4]"
Al Benton,"[BOS, CLE, DET, PHA]"
Al Bool,"[BSN, PIT, WS1]"
Al Bridwell,"[BSN, CHN, CIN, NY1, SLF]"
Al Cicotte,"[CLE, DET, HOU, NYA, SLN, WS1]"
Al Closter,"[ATL, NYA, WS2]"
Al Cowens,"[CAL, DET, KCA, SEA]"
Al Dark,"[BSN, CHN, ML1, NY1, PHI, SLN]"
Al DeVormer,"[BOS, CHA, NY1, NYA]"
Al Demaree,"[BSN, CHN, NY1, PHI]"
Al Downing,"[LAN, ML4, NYA, OAK]"
Al Ferrara,"[CIN, LAN, SDN]"
Al Fitzmorris,"[CAL, CLE, KCA]"
Al Gerheauser,"[PHI, PIT, SLA]"
Al Gettel,"[CHA, CLE, NY1, NYA, SLN, WS1]"
Al Glossop,"[BRO, BSN, CHN, NY1, PHI]"
Al Holland,"[CAL, NYA, PHI, PIT, SFN]"
Al Hollingsworth,"[BRO, CHA, CIN, PHI, SLA, WS1]"
Al Hrabosky,"[ATL, KCA, SLN]"
Al Jackson,"[CIN, NYN, PIT, SLN]"
Al Kaiser,"[BSN, CHN, IND]"
Al Lakeman,"[BSN, CIN, DET, PHI]"
Al Leiter,"[FLO, NYA, NYN, TOR]"
Al Levine,"[ANA, CHA, DET, KCA, SFN, TBA, TEX]"
Al Lopez,"[BRO, BSN, CLE, PIT]"
Al Luplow,"[CLE, NYN, PIT]"
Al Lyons,"[BSN, NYA, PIT]"
Al Mamaux,"[BRO, NYA, PIT]"
Al Martin,"[BR1, BR2, PIT, SDN, SEA, TBA]"
Al Maul,"[BLN, BRO, NY1, PHI, PHU, PIT, PTP, WSN]"
Al Mays,"[BR3, CL6, LS2, NY4]"
Al McBean,"[LAN, PIT, SDN]"
Al McCauley,"[IN2, PHI, WS9]"
Al Milnar,"[CLE, PHI, SLA]"
Al Myers,"[KCN, MLU, PHI, WS8]"
Al Newman,"[MIN, MON, TEX]"
Al Nichols,"[BR2, LS1, NY3]"
Al Nipper,"[BOS, CHN, CLE]"
Al Nixon,"[BRO, BSN, PHI]"
Al Oliver,"[LAN, MON, PHI, PIT, SFN, TEX, TOR]"
Al Orth,"[NYA, PHI, WS1]"
Al Osuna,"[HOU, LAN, SDN]"
